
2304 atoms

2 atom types

-29.094147 79.904364 xlo xhi
-34.161392 74.872029 ylo yhi
0.000000 170.303001 zlo zhi

Masses

1 28.0855
2 15.9994

Atoms

1       1 1 0.0 29.828319 61.572599 14.567412
2       1 1 0.0 31.833243 63.562002 17.665475
3       1 1 0.0 39.126037 59.076760 17.736130
4       1 1 0.0 35.876012 62.017332 17.426383
5       1 2 0.0 38.046861 59.592493 21.208907
6       1 2 0.0 34.266570 62.370175 15.717377
7       1 2 0.0 31.591844 60.445038 15.898365
8       1 2 0.0 37.136204 60.506062 17.003608
9       1 2 0.0 37.412578 62.293254 19.421881
10      1 2 0.0 29.865051 61.400633 12.760296
11      1 2 0.0 34.321935 62.753121 18.055736
12      1 2 0.0 30.290881 62.849940 15.712790
13      1 1 0.0 40.392146 59.011378 21.665992
14      1 1 0.0 42.845164 60.411429 24.764055
15      1 1 0.0 48.721868 54.185146 24.834710
16      1 1 0.0 46.347643 57.869259 24.524963
17      1 2 0.0 47.813786 54.963600 28.307487
18      1 2 0.0 44.885183 58.628215 22.815957
19      1 2 0.0 41.802074 57.464278 22.996945
20      1 2 0.0 47.171818 56.082429 24.102188
21      1 2 0.0 47.903122 57.736404 26.520461
22      1 2 0.0 40.382928 58.835774 19.858876
23      1 2 0.0 45.038160 58.983617 25.154316
24      1 2 0.0 41.170751 60.124633 22.811370
25      1 1 0.0 49.927489 53.792995 28.764572
26      1 1 0.0 52.660057 54.507498 31.862635
27      1 1 0.0 56.716886 46.967977 31.933290
28      1 1 0.0 55.381593 51.142497 31.623543
29      1 2 0.0 56.042293 47.955664 35.406067
30      1 2 0.0 54.166600 52.255419 29.914537
31      1 2 0.0 50.886946 51.932656 30.095525
32      1 2 0.0 55.713122 49.202881 31.200768
33      1 2 0.0 56.849110 50.609994 33.619041
34      1 2 0.0 49.872955 53.625819 26.957456
35      1 2 0.0 54.406678 52.558859 32.252896
36      1 2 0.0 50.968640 54.665674 29.909950
37      1 1 0.0 57.779184 46.276001 35.863152
38      1 1 0.0 60.603548 46.255864 38.961215
39      1 1 0.0 62.561761 37.921138 39.031870
40      1 1 0.0 62.357146 42.299239 38.722123
41      1 2 0.0 62.167007 39.050196 42.504647
42      1 2 0.0 61.473102 43.689659 37.013117
43      1 2 0.0 58.222244 44.230246 37.194105
44      1 2 0.0 62.173250 40.340105 38.299348
45      1 2 0.0 63.635870 41.403676 40.717621
46      1 2 0.0 57.683080 46.128740 34.056036
47      1 2 0.0 61.783784 43.920287 39.351476
