
20736 atoms

2 atom types

-44.338389 95.150237 xlo xhi
-49.400735 90.120529 ylo yhi
0.000000 170.354732 zlo zhi

Masses

1 28.0855
2 15.9994

Atoms

1       1 1 0.0 36.285275 73.289924 5.349637
2       1 1 0.0 38.818670 74.737725 8.771189
3       1 1 0.0 47.422058 68.513105 8.745575
4       1 1 0.0 43.355171 72.072591 8.719398
5       1 2 0.0 47.103531 69.940290 11.765780
6       1 2 0.0 41.228407 72.479612 7.038835
7       1 2 0.0 38.841619 72.020211 6.308411
8       1 2 0.0 44.856359 70.403727 8.232784
9       1 2 0.0 45.477965 71.860249 10.482005
10      1 2 0.0 35.976421 72.756333 3.707437
11      1 2 0.0 41.734586 73.352406 9.227776
12      1 2 0.0 36.781166 74.356400 6.783914
13      1 1 0.0 49.672179 68.648233 12.448217
14      1 1 0.0 52.494770 69.387959 15.869769
15      1 1 0.0 59.185042 61.141478 15.844155
16      1 1 0.0 56.182852 65.635514 15.817978
17      1 2 0.0 59.248331 62.602406 18.864360
18      1 2 0.0 54.234922 66.581219 14.137415
19      1 2 0.0 51.810749 66.757840 13.406991
20      1 2 0.0 57.198790 63.633879 15.331364
21      1 2 0.0 58.177538 64.878830 17.580585
22      1 2 0.0 49.235275 68.213233 10.806017
23      1 2 0.0 54.950518 67.292492 16.326356
24      1 2 0.0 50.428172 69.549206 13.882494
25      1 1 0.0 61.392976 60.687239 19.546797
26      1 1 0.0 64.310826 60.668064 22.968349
27      1 1 0.0 68.628298 50.966331 22.942735
28      1 1 0.0 66.897082 56.086135 22.916558
29      1 2 0.0 69.069054 52.360623 25.962940
30      1 2 0.0 65.261826 57.505547 21.235995
31      1 2 0.0 62.966833 58.306054 20.505571
32      1 2 0.0 67.357967 53.889261 22.429944
33      1 2 0.0 68.626607 54.837101 24.679165
34      1 2 0.0 60.858041 60.380718 17.904597
35      1 2 0.0 66.137673 58.006427 23.424936
36      1 2 0.0 62.357127 61.360805 20.981074
37      1 1 0.0 70.642339 49.953936 26.645377
38      1 1 0.0 73.454965 49.177178 30.066929
39      1 1 0.0 75.102987 38.686791 30.041315
40      1 1 0.0 74.761696 44.080586 30.015138
